iter	RMSE
436	0.4319357228
437	0.4317920869
438	0.431572458
439	0.4314037054
440	0.4310209816
441	0.4308577103
442	0.4308037419
443	0.4304341079
444	0.4302984911
445	0.4297524768
446	0.4295399932
447	0.4292961329
448	0.4291978298
449	0.4291654243
450	0.4290526168
451	0.4287480774
452	0.4282179086
453	0.4281365122
454	0.4280081284
455	0.4278748845
456	0.4278068612
457	0.4277502425
458	0.4276246798
459	0.4274126834
460	0.4273729229
461	0.4273147324
462	0.4272395365
463	0.4270943351
464	0.4270400875
465	0.4266152609
466	0.4264574257
467	0.426430837
468	0.4262428484
469	0.4260182662
470	0.4258829939
471	0.4256085533
472	0.4254595611
473	0.4251290807
474	0.4249157236
475	0.4247333433
476	0.4245919447
477	0.4244354107
478	0.4243593287
479	0.4241198991
480	0.4238738394
481	0.4238301626
482	0.4235946151
483	0.4231141169
484	0.4230464838
485	0.4229914842
486	0.422907571
487	0.4220049802
488	0.4217872464
489	0.4216908459
490	0.4213844955
491	0.4212301452
492	0.4210584758
493	0.4206286698
494	0.420445153
495	0.42035162
496	0.4203056319
497	0.4202086183
498	0.4201514608
499	0.4199249222
500	0.4197323923
501	0.4196654462
502	0.4196057857
503	0.419334468
504	0.4192968189
505	0.4192750956
506	0.4192120515
507	0.4191189253
508	0.4189215342
509	0.4185457316
510	0.4182676781
511	0.4179041155
512	0.4178193181
513	0.4176319431
514	0.4175488334
515	0.4174278283
516	0.417230632
517	0.4171779974
518	0.4170565346
519	0.4167218923
520	0.4162527346
521	0.416161053
522	0.4157269429
523	0.4156991942
524	0.4156084608
525	0.4153215447
526	0.4152582148
527	0.4146735748
528	0.4146197816
529	0.414570564
530	0.4144824195
531	0.4143859793
532	0.4139830673
533	0.413841881
534	0.4136707503
535	0.4131775772
536	0.4130919109
537	0.412987527
538	0.4126919622
539	0.4123776178
540	0.4122633561
541	0.4120828105
542	0.4114671236
543	0.4113756895
544	0.4110864486
545	0.4108565971
546	0.4106759405
547	0.4105833641
548	0.4105318498
549	0.4104346282
550	0.4103802036
551	0.4098234925
552	0.4097765761
553	0.4097345411
554	0.4095090496
555	0.4094466574
556	0.4093919805
557	0.4092577939
558	0.4089974083
559	0.4087032314
560	0.4085669293
561	0.4084159667
562	0.4078427507
563	0.4077147073
564	0.4071554467
565	0.4070094464
566	0.4060266644
567	0.4059562331
568	0.4057932627
569	0.405751448
570	0.4056783782
571	0.4056508883
572	0.4055610322
573	0.4054872787
574	0.4052766533
575	0.4051532207
576	0.4049401117
577	0.4047240862
578	0.4043460818
579	0.4041955615
580	0.4041293863
581	0.4039397398
582	0.4033743654
583	0.403223998
584	0.4029303741
585	0.4028523563
586	0.4027614561
587	0.4026351669
588	0.4021833694
589	0.4017679339
590	0.4016865667
591	0.4014321517
592	0.4012098024
593	0.4010982148
594	0.4010069571
595	0.4002523817
596	0.4000553712
597	0.3999052705
598	0.3998449369
599	0.3997940579
600	0.399564873
601	0.3994059074
602	0.3993466498
603	0.3990422346
604	0.3988254958
605	0.3985518631
606	0.3984584399
607	0.3982666746
608	0.3982230879
609	0.3981366263
610	0.3980568688
611	0.3978195495
612	0.3975368157
613	0.3974559104
614	0.3972803279
615	0.3969491339
616	0.3967494866
617	0.3966916137
618	0.3965601682
619	0.3964189081
620	0.3963280671
621	0.395687542
622	0.3953532579
623	0.3951338785
624	0.3951077671
625	0.3950144433
626	0.394788103
627	0.3945884176
628	0.3944152476
629	0.3941661149
630	0.3940022973
631	0.3938826224
632	0.3937876508
633	0.3937304476
634	0.3936107911
635	0.3934615019
636	0.39334687
637	0.3931870844
638	0.393109967
639	0.3929538554
640	0.39271408
641	0.3925695164
642	0.392332707
643	0.3921532773
644	0.3917789531
645	0.3916829471
646	0.3915735393
647	0.3913644708
648	0.3911138105
649	0.3910476012
650	0.3909677825
651	0.3907638995
652	0.3905499835
653	0.3904843693
654	0.3904073793
655	0.3901404496
656	0.3900822463
657	0.3896008411
658	0.3895582228
659	0.3895380157
660	0.3894817411
661	0.3894445008
