iter	Passed	Remaining
161	4446	13722
162	4466	13673
163	4492	13642
164	4511	13588
165	4535	13552
166	4559	13514
167	4580	13468
168	4599	13418
169	4621	13375
170	4654	13363
171	4673	13314
172	4693	13267
173	4720	13239
174	4745	13206
175	4772	13177
176	4793	13134
177	4815	13093
178	4835	13048
179	4865	13027
180	4885	12983
181	4907	12943
182	4935	12917
183	4959	12884
184	4986	12857
185	5004	12808
186	5023	12760
187	5044	12717
188	5071	12693
189	5098	12665
190	5115	12614
191	5139	12582
192	5172	12568
193	5193	12529
194	5221	12505
195	5244	12467
196	5269	12439
197	5293	12404
198	5317	12372
199	5343	12343
200	5369	12316
201	5391	12278
202	5410	12234
203	5438	12210
204	5457	12167
205	5490	12154
206	5510	12113
207	5528	12067
208	5559	12050
209	5588	12028
210	5613	11998
211	5639	11969
212	5662	11936
213	5693	11918
214	5714	11881
215	5748	11869
216	5769	11830
217	5790	11793
218	5819	11771
219	5840	11733
220	5867	11708
221	5890	11674
222	5906	11627
223	5934	11604
224	5959	11573
225	5988	11552
226	6014	11526
227	6035	11488
228	6064	11466
229	6085	11430
230	6108	11398
231	6134	11369
232	6158	11338
233	6186	11315
234	6214	11291
235	6237	11258
236	6265	11235
237	6286	11200
238	6313	11174
239	6339	11146
240	6360	11110
241	6385	11081
242	6411	11055
243	6436	11026
244	6461	10997
245	6481	10961
246	6512	10942
247	6545	10927
248	6573	10902
249	6587	10856
250	6608	10820
251	6628	10784
252	6645	10742
253	6662	10701
254	6687	10674
255	6711	10643
256	6740	10622
257	6771	10603
258	6789	10563
259	6808	10527
260	6852	10528
261	6876	10498
262	6904	10475
263	6928	10445
264	6960	10426
265	6985	10400
266	7009	10370
267	7035	10343
268	7063	10320
269	7081	10281
270	7102	10247
271	7123	10214
272	7149	10186
273	7169	10152
274	7189	10117
275	7212	10086
276	7240	10063
277	7267	10037
278	7294	10013
279	7315	9980
280	7343	9957
281	7365	9925
282	7393	9901
283	7414	9868
284	7436	9837
285	7465	9814
286	7483	9778
287	7503	9744
288	7530	9718
289	7553	9688
290	7579	9662
291	7600	9631
292	7622	9600
293	7644	9568
294	7679	9554
295	7699	9520
296	7722	9490
297	7750	9466
298	7773	9437
299	7793	9404
300	7823	9383
301	7848	9355
302	7876	9331
303	7904	9309
304	7933	9285
305	7953	9253
306	7986	9235
307	8006	9202
308	8033	9177
309	8053	9144
310	8081	9120
311	8105	9093
312	8127	9062
313	8154	9037
314	8176	9006
315	8205	8984
316	8229	8956
317	8253	8927
318	8281	8904
319	8306	8877
320	8333	8852
321	8357	8824
322	8388	8804
323	8416	8780
324	8440	8752
325	8466	8726
326	8492	8700
327	8516	8672
328	8546	8649
329	8568	8620
330	8595	8595
331	8626	8574
332	8657	8553
333	8684	8528
334	8708	8500
335	8739	8479
336	8764	8452
337	8795	8430
338	8826	8409
339	8840	8372
340	8853	8334
341	8870	8300
342	8883	8261
343	8905	8232
344	8923	8199
345	8942	8167
346	8964	8137
347	8984	8106
348	9011	8081
349	9032	8051
350	9058	8025
351	9081	7997
352	9102	7968
353	9125	7940
354	9154	7917
355	9183	7893
356	9205	7864
357	9235	7842
358	9260	7815
359	9285	7789
360	9304	7758
361	9333	7734
362	9361	7711
363	9394	7691
364	9415	7661
365	9444	7638
366	9466	7608
367	9488	7580
368	9514	7555
369	9536	7525
370	9564	7501
371	9593	7478
372	9618	7452
373	9646	7428
374	9664	7396
375	9692	7372
376	9716	7345
377	9749	7325
378	9781	7303
379	9808	7279
380	9839	7256
381	9863	7229
382	9893	7207
383	9917	7180
384	9940	7151
385	9973	7131
386	9995	7103
387	10020	7076
388	10049	7052
389	10077	7028
390	10104	7003
391	10131	6978
392	10153	6949
393	10186	6928
394	10212	6902
395	10235	6875
396	10266	6852
397	10297	6830
398	10321	6803
399	10351	6780
400	10374	6752
401	10397	6725
402	10429	6702
403	10449	6672
404	10481	6651
405	10509	6626
406	10532	6599
407	10568	6579
408	10593	6552
409	10614	6524
410	10641	6498
411	10663	6470
412	10692	6446
413	10715	6418
414	10744	6395
415	10766	6366
416	10797	6343
417	10820	6316
418	10841	6287
419	10870	6263
420	10892	6235
421	10921	6211
422	10950	6187
423	10972	6159
424	11000	6134
425	11030	6110
426	11064	6089
427	11085	6061
428	11100	6029
429	11119	5999
430	11133	5967
431	11148	5935
432	11165	5905
433	11196	5881
434	11222	5856
435	11245	5829
436	11264	5799
437	11286	5772
438	11320	5750
439	11348	5726
440	11380	5703
441	11400	5674
442	11428	5649
443	11457	5625
444	11477	5596
445	11504	5571
446	11529	5545
447	11550	5517
448	11575	5491
449	11597	5463
450	11617	5435
451	11639	5407
452	11666	5382
453	11689	5355
454	11713	5328
455	11737	5302
456	11764	5277
457	11791	5252
458	11813	5224
459	11869	5212
460	11896	5186
461	11922	5161
462	11955	5138
463	11978	5111
464	12002	5084
465	12028	5059
466	12054	5033
467	12081	5008
468	12103	4980
469	12124	4953
470	12152	4927
471	12173	4900
472	12204	4876
473	12225	4848
474	12246	4821
475	12274	4796
476	12297	4769
477	12320	4742
478	12344	4716
479	12370	4690
480	12390	4662
481	12411	4634
482	12438	4609
483	12460	4582
484	12487	4557
485	12511	4531
486	12537	4505
487	12561	4478
488	12583	4451
489	12613	4427
490	12633	4399
491	12655	4372
492	12675	4345
493	12704	4320
494	12725	4293
495	12747	4266
496	12774	4241
497	12795	4213
498	12823	4188
499	12841	4160
500	12869	4135
501	12890	4108
502	12917	4083
503	12950	4060
504	12973	4033
505	12992	4005
506	13025	3982
507	13050	3956
508	13074	3930
509	13094	3902
510	13118	3876
511	13157	3854
512	13179	3827
513	13214	3805
514	13236	3778
515	13265	3753
516	13296	3729
517	13313	3701
518	13326	3671
519	13343	3643
520	13357	3614
521	13375	3587
522	13392	3559
523	13413	3532
524	13440	3507
525	13462	3480
526	13484	3454
527	13511	3429
528	13533	3402
529	13555	3376
530	13583	3351
531	13602	3324
532	13621	3296
533	13650	3272
534	13672	3245
535	13696	3219
536	13719	3193
537	13758	3171
538	13779	3144
539	13800	3117
540	13822	3091
541	13855	3067
542	13876	3041
543	13895	3014
544	13921	2988
545	13942	2962
546	13972	2937
547	13993	2910
548	14011	2884
549	14035	2858
550	14057	2831
551	14073	2804
552	14100	2779
553	14120	2752
554	14140	2726
555	14169	2701
556	14190	2675
557	14217	2649
558	14246	2624
559	14272	2599
560	14295	2573
561	14318	2547
562	14343	2522
563	14365	2496
564	14386	2469
565	14407	2443
566	14427	2417
567	14475	2395
568	14499	2369
569	14520	2343
570	14548	2318
571	14567	2292
572	14595	2267
573	14615	2240
574	14640	2215
575	14667	2189
576	14689	2163
577	14712	2138
578	14737	2112
579	14759	2086
580	14785	2061
581	14808	2035
582	14835	2010
583	14854	1983
584	14874	1957
585	14900	1932
586	14922	1906
587	14946	1881
588	14968	1855
589	14989	1829
590	15014	1803
591	15036	1777
592	15058	1752
593	15091	1727
594	15112	1701
595	15139	1676
596	15160	1650
597	15187	1625
598	15210	1599
599	15238	1574
600	15257	1548
601	15277	1522
602	15303	1497
603	15327	1471
604	15349	1446
605	15374	1420
606	15396	1395
607	15414	1369
608	15437	1343
609	15464	1318
610	15502	1293
611	15538	1269
612	15558	1243
613	15577	1217
614	15596	1191
615	15617	1166
616	15633	1140
617	15647	1114
618	15674	1088
619	15699	1063
620	15719	1037
621	15748	1012
622	15767	987
623	15786	961
624	15812	936
625	15834	910
626	15855	885
627	15880	859
628	15905	834
629	15925	808
630	15952	783
631	15970	758
632	15990	732
633	16012	707
634	16034	681
635	16058	656
636	16084	631
637	16107	605
638	16138	580
639	16160	555
640	16180	530
641	16207	504
642	16227	479
643	16256	454
644	16280	429
645	16306	403
646	16326	378
647	16354	353
648	16376	328
649	16400	302
650	16419	277
651	16448	252
652	16482	227
653	16503	201
654	16530	176
655	16549	151
656	16579	126
657	16597	100
658	16624	75
659	16646	50
660	16670	25
661	16698	0
